Rimfluence Rank,year,Player name,team,height_inches,class,possessions,Opp Net Rating,O Rimfluence,D Rimfluence,Rimfluence
688,2024,Shykeim Phillips,UNC Wilmington,74,Sr,4944.0,-1.3926999999999907,3.900599745340619,3.0497067292869406,6.95030647462756
689,2024,Aundre Hyatt,Rutgers,77,Sr,5111.0,9.36739999999999,7.726037313216141,-0.7767420324529049,6.949295280763236
690,2024,Tyrese Hunter,Texas,72,Jr,3091.0,10.529899999999998,4.527377253896802,2.4214681499409636,6.948845403837765
691,2024,Jameer Nelson Jr.,TCU,74,Sr,2553.0,7.792500000000004,0.3901342189380714,6.552862828484146,6.942997047422217
692,2024,Jayden Hardaway,Memphis,77,Sr,7402.0,4.037099999999995,7.641757399176662,-0.7028184152115222,6.938938983965139
693,2024,Meechie Johnson,South Carolina,74,Jr,2616.0,8.304000000000002,2.722516641901711,4.212038665652826,6.934555307554537
694,2024,Tre Holloman,Michigan State,74,So,1985.0,11.590599999999997,9.76563237194787,-2.8694640732232575,6.8961682987246125
695,2024,AK Okereke,Cornell,79,So,1366.0,0.2730999999999994,4.22587089683824,2.664925512078103,6.8907964089163425
696,2024,Avery Anderson III,TCU,74,Sr,2341.0,7.558700000000002,0.5916361729773705,6.276859334113654,6.8684955070910245
697,2024,Jadon Jones,Long Beach State,77,Jr,3290.0,-0.6157000000000039,-4.98763189306097,11.85080899003025,6.86317709696928
698,2024,Brandon Weatherspoon,Florida Atlantic,76,Sr,2305.0,6.001800000000003,-2.882148178552031,9.737078356873678,6.854930178321647
699,2024,Chendall Weaver,Texas,75,So,1787.0,12.307699999999995,5.128398285710725,1.7227280244522776,6.851126310163003
700,2024,Tarris Reed Jr.,Michigan,82,So,5197.0,13.83229999999999,6.949649245621753,-0.0995597341110112,6.850089511510742
701,2024,Caleb Robinson,Gardner-Webb,76,Sr,4790.0,-0.1081999999999965,6.885698703447834,-0.0547844803706773,6.830914223077157
702,2024,J'Vonne Hadley,Colorado,78,Sr,3641.0,9.483900000000006,4.770386855467487,2.0245471273043423,6.79493398277183
703,2024,Taje' Kelly,Charleston Southern,79,Jr,5931.0,0.3678000000000025,4.526848898744748,2.2557960660625396,6.782644964807288
704,2024,Kuany Kuany,VCU,81,Sr,1242.0,4.866,0.713049257814643,6.050388490388707,6.7634377482033505
705,2024,Marchelus Avery,UCF,80,Sr,1397.0,6.981500000000011,-0.9687494867092976,7.723182608849331,6.754433122140033
706,2024,Noah Harris,Marist,73,Jr,2022.0,-8.296400000000006,9.651516950781444,-2.8975221995018283,6.753994751279615
707,2024,Chase Hunter,Clemson,75,Sr,2771.0,11.522000000000006,5.239360220416196,1.4982439792224902,6.737604199638686
708,2024,Kalu Anya,Brown,80,So,7176.0,0.1402999999999963,1.684233281775567,5.039087624647529,6.723320906423096
709,2024,Jamahri Harvey,Presbyterian,77,Jr,1583.0,-4.8553,5.152534378424872,1.56365293751806,6.716187315942932
710,2024,Tristan da Silva,Colorado,81,Sr,3378.0,8.58059999999999,-0.3980317378013795,7.103755629543578,6.705723891742198
711,2024,Jaylin Williams,Auburn,80,Sr,2442.0,9.111099999999992,4.661417555404555,2.031332068340258,6.692749623744813
712,2024,Francis Nwaokorie,UC San Diego,79,Jr,3062.0,-3.003299999999996,0.2693008958877376,6.4080964078243685,6.677397303712106
713,2024,Grant Asman,Lipscomb,82,So,5780.0,-3.4377999999999957,4.719992420556337,1.95534385462692,6.675336275183257
714,2024,Ante Brzovic,Charleston,82,Jr,2394.0,-1.954499999999996,7.312539221776355,-0.6649947664339653,6.6475444553423895
715,2024,Des Watson,Loyola Chicago,77,Jr,4112.0,2.4629000000000048,1.7514804066481855,4.894342300867532,6.645822707515717
716,2024,Garfield Turner,Drexel,80,Jr,1996.0,-3.89200000000001,4.548420193668415,2.0821288432465237,6.630549036914939
