player_name,team,year,unassisted_dunks_100,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,unassisted_points_100
Elgin Cook,Oregon,2014,0.708712,3.948540,1.417425,0.000000,10.731929
Joe Aase,Davidson,2014,0.000000,0.411043,0.411043,0.000000,1.644171
Therone Tillett,San Diego,2014,0.000000,0.000000,0.000000,23.689000,71.067000
Jalen Jackson,Central Arkansas,2014,0.677266,1.806041,1.806041,1.015898,10.271860
Blake Danielak,Drake,2014,0.000000,1.144824,0.000000,0.000000,2.289648
Will Thoni,Davidson,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Nick Davis,Alabama St.,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Julian Harrell,Penn,2014,0.000000,2.034613,0.762980,0.508653,7.121147
Jordan Daniels,Drake,2014,0.000000,1.488600,1.984800,0.595440,8.733120
Emmanuel Chibuogwu,Seattle,2014,0.233434,1.167169,0.233434,0.233434,3.501506
Patrick Conroy,Nevada,2014,0.000000,0.000000,0.000000,0.000000,0.000000
D.J. Fenner,Nevada,2014,0.404720,1.079253,1.753787,0.000000,5.666080
Tyquane Goard,Marshall,2014,0.609088,1.979536,0.228408,0.000000,4.415888
Kyle Collinsworth,BYU,2014,0.586977,3.277291,2.788143,0.000000,12.130868
Ethan Layer,Liberty,2014,0.000000,0.000000,0.596842,0.000000,1.193684
Nyles Evans,Akron,2014,0.000000,1.034310,0.258577,0.517155,4.137240
Jimmy Marshall,Northeastern,2014,0.000000,0.526517,0.000000,0.000000,1.053034
T.J. Williams,Northeastern,2014,0.000000,2.215200,1.107600,0.000000,6.645600
Noah Vonleh,Indiana,2014,0.803427,3.213707,1.314698,0.073039,9.275926
Jaylen Hinton,Georgia St.,2014,0.000000,1.363096,1.363096,0.000000,5.452384
Keith Shamburger,Hawaii,2014,0.000000,0.371261,1.299414,1.051907,6.497070
Darius Sharpe,Georgia St.,2014,0.000000,0.000000,0.000000,9.337200,28.011600
Devin Brooks,Creighton,2014,0.000000,5.615220,0.755895,0.323955,13.714095
Steven Ferrarini,Creighton,2014,0.000000,3.355833,0.000000,0.000000,6.711667
Mo Alie-Cox,VCU,2014,0.223436,1.564052,0.223436,0.000000,3.574976
Pat Birt,Illinois Chicago,2014,0.000000,1.331951,1.997927,0.332988,7.658719
Markese McGuire,Illinois Chicago,2014,0.000000,1.112346,1.112346,0.370782,5.561732
K.K. Simmons,Kent St.,2014,0.000000,2.055028,0.685009,0.856261,8.048858
Harrison Hawkins,Abilene Christian,2014,0.000000,1.641754,2.052193,2.052193,13.544474
Anthony Dallier,Yale,2014,0.000000,1.284970,0.856647,0.000000,4.283233
Tanner Omlid,Army,2014,0.648293,2.701221,0.108049,0.108049,5.942686
Dashaun Rice,Central Arkansas,2014,0.000000,1.103909,0.613283,0.245313,4.170324
Brynton Lemar,UC Davis,2014,0.000000,3.174375,1.798813,0.000000,9.946375
Vicktor Arnick,Texas Southern,2014,0.000000,0.855502,0.000000,0.855502,4.277508
Kevin Crawford Ii,North Carolina Central,2014,0.000000,9.508220,0.000000,0.000000,19.016440
J.T. Flowers,Yale,2014,0.000000,0.000000,1.989920,0.000000,3.979840
Jose Rodriguez,Texas Southern,2014,0.000000,3.676339,1.179203,0.138730,10.127274
Kyle Davis,Utah St.,2014,0.000000,1.913758,0.911313,0.000000,5.650143
Carson Desrosiers,Providence,2014,0.091093,1.184212,0.364373,0.000000,3.097170
Tyler Harris,Providence,2014,0.163897,2.458460,0.928752,0.109265,7.102218
Jojo McGlaston,Utah St.,2014,0.000000,0.675941,2.365793,0.000000,6.083469
Javaris Jenkins,Savannah St.,2014,0.000000,0.000000,1.486235,0.000000,2.972470
Melvin Johnson III,Arkansas St.,2014,0.065025,1.755687,1.235483,1.560610,10.664171
Lawrence Cooks,Hampton,2014,0.000000,1.876262,0.312710,0.156355,4.847011
Chris Dees,St. Bonaventure,2014,0.000000,1.074170,0.644502,0.000000,3.437344
Chester Victor,Jackson St.,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Kerry Carter,Saint Mary's,2014,0.342680,1.439255,0.205608,0.137072,3.700943
